"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"SAPANCA AGİA BUNGALOV","sapancaagiabungalov","05425438303","",""
"BLACK LOFT BUNGALOW SAPANCA","@blackloftbungalow","+905324228934","",""
"NEVBAHAR SAPANCA","nevbaharsapanca","05511665372","",""
"EMEY HOUSE","@emey.house","+905398150801","",""
"SAPANCA SAZLIGÖL BUNGALOV","sazligolbungalov","02645820011","",""
"SAPANCA ÇAĞLAYAN BUNGALOV  SAPANCA BUNGALOV OTELLERİ","@sapancabungalowotelleri","+905352461492","",""
"SAPANCA BOSS BUNGALOV","@sapancabossbungalov","+905310104775","",""
"SAPANCA ÇAMLIK EVLERİ","@sapancacamlikevleri","+905540232425","",""
"SAPANCA ÖZEN BUNGALOV","sapancaozenbungalov","05453552928","",""
"SAPANCA ANIL BUNGALOV","@sapancaanilbungalov","+905375574939","",""
"VOGE BUNGALOWS","@sapancavogebungalows","+905347251904","",""
"SAPANCA BENT BUNGALOV","@sapancabentbungalov","+905356822012","",""
"MAHMUDİYE RESORT","mahmudiyeresort","05326513912","",""
"EVA BUNGALOV","sapancaevabungalow","05323510174","",""
"SAPANCA SİLENCE BUNGALOV","sapancasilencebungalov","05010639620","",""
"SAPANCA KARDEŞLER BUNGALOW","@sapancakardeslerbungalow","+905308398454","",""
"SAPANCA LAST SUMMER","@sapancalastsummer","+905321645854","",""
"TALYA BUNGALOV SAPANCA","@eminetalhapolat","+905077996212","",""
"FALDA BUNGALOV","@sapancafaldabungalov","+905446089892","",""
"SAPANCA AYZADE BUNGALOV","@sapanca_ayzade_bungalov","+905456806359","",""
"OASİS WOODEN HOUSE","oasiswoodenhouse","05011614154","",""
"SAPANCA POLAT BUNGALOW","sapancapolatbungalow54","05303894501","",""
"SAPANCA ŞAH BUNGALOV","sapancasahbungalov","05427819184","",""
"GÜLER BUNGALOV","gulerbungalov","05393499742","",""
"NO:95 DELUXE BUNGALOV","no95deluxebungalov","905071819595","",""
"HAPPY ENJOY BUNGALOV","@enjoybungalow","+905301714820","",""
"WOODY HOUSE SAPANCA","@woodyhousessapanca","+905323063554","",""
"İNCE BUNGALOV","sapancaincebungalow","05301093054","",""
"DREAM DELUXE SAPANCA","@dreamdeluxe_sapanca","+905342715258","",""
"MAJESTY SAPANCA","@majestysapanca","+905320695470","",""
"BUNGALOV DEREİÇİ","bungalovdereici","05306155441","",""
"BUNGALOWLAND","@sapancabungalowland","+905412771965","",""
"SAPANCA BAMBU DAĞ EVİ  ROSS BUNGALOV","@sapancabambudagevi","+905318340515","",""
"E BLOK BUNGALOV","@eblok.bungalov","+905546615451","",""
"STAR HİLL SAPANCA","starhillsapanca","05386174242","",""
"ÇİNİLİ MAVİ KÖŞK","cinilimavikosk","05415633037","",""
"ARELSA SAPANCA","@arelsasapanca","+905064586803","",""
"SAĞIROĞLU SAPANCA","@sagirogludagevi","+905374624944","",""
"NORTH LİFE BUNGALOV SAPANCA","northlifebungalovsapanca","05300948443","",""
"LİVADİ SAPANCA","livadisapanca","05345479753","",""
"SAPANCA ZETA BUNGALOV","@sapancazetabungalov","+905059422654","",""
"DİAVA SAPANCA","diavasapanca","05300442826","",""
"PANA SAPANCA","@panasapanca","+905078080598","",""
"SAPANCA DREAM STAR BUNGALOV","@sapancadreamstarbungalow","+905376989857","",""
"NOVEL SAPANCA","@novelsapanca","+905307695158","",""
"MİNTİNİ TAŞ EV","sapancamintinitasev","05302094882","",""
"FOUR SEASONS BUNGALOW SAPANCA","@fourseasonsbungalowsapanca","+905310829058","",""
"SAPANCAŞİ PARPALİ BUNGALOV","@sapancasiparpali","+905456410854","",""
"LUSSO SAPANCA","","+905365573164","",""
"K7 SAPANCA BUNGALOVS","@k2sapanca","+905324981069","",""
"TİNY PALAS BUNGALOV EVLERİ","tinypalas","905072591818","",""
"GLASS GALOW BUNGALOV","@glassgalow","+905385873230","",""
"LORA BUNGALOV","@lorabungalovsapanca","+905438168191","",""
"SAPANCA BERRA BUNGALOV","@berrabungalov","+905337859054","",""
"MABEL BUNGALOV","@sapancamabelbungalov","+905316336577","",""
"AYS SUİT BUNGALOV","ays.suitbungalov","05316455145","",""
"BLS BUNGALOVE SAPANCA","@blsbungalovesapanca","+905362848697","",""
"SAPANCA SUDERE BUNGALOV","@sapancasuderebungalov","+905355400707","",""
"SAPANCA FREZYA BUNGALOV","@sapancafrezyabungalov","+905439635054","",""
"KEİL BUNGALOV","keilbungalovsapanca","05344053454","",""
"BLUE WHİTE CAMPİNG BUNGALOV","bluewhitecamping_bungalow","05330529541","",""
"LOCA SAPANCA BUNGALOV","@loca.sapanca.bungalov","+905374545864","",""
"İSTANBULDERE BUNGALOV (Sıcak havuz & Jakuzi)","","05052105406","",""
"PAPATYA BUNGALOV","@papatya_bungalov_sapanca","+905453703954","",""
"KIYI BUNGALOV & CAFE","sapancakiyibungalovcafe","05308703054","",""
"SAPANCA OFİDİ BUNGALOV","sapancaofidibungalov","05530176405","",""
"RELAX HOUSE SAPANCA","@relaxhouse.tr","+905537000685","",""
"STAR HOME","@sapancastarhome","+905310274754","",""
"MÜENBA BUNGALOW","sapancamuenbabungalow","05343134644","",""
"SAPANCA ÖZFER BUNGALOV","sapancaozferbungalov","0533231231905309016654","",""
"SAPANCA ARP BUNGALOV","@arpsapanca","+905314740054","",""
"GARDEN HOME BUNGALOV","@gardenhomesapanca","+905325564955","",""
"CABİN BUNGALOV SAPANCA","sapancacabinbungalov","05398800870","",""
"SAPANCA ŞEKER BUNGALOV","@sapancasekerbungalov","+905309019494","",""
